State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine,Population
CT,2020.0,669.0,718.0,874.0,70.0,181.0,2089.0,40.0,76.0,127.0,39.0,103.0,1.0,57.0,70.0,232.0,266.0,919.0,97.0,101.0,1161.0,226.0,0.0,150.0,39.0,13.0,0.0,96.0,21.0,3605944
CT,2021.0,755.0,698.0,509.0,94.0,544.0,2050.0,43.0,37.0,117.0,52.0,70.0,2.0,91.0,63.0,319.0,292.0,412.0,165.0,475.0,916.0,251.0,0.0,137.0,45.0,7.0,0.0,170.0,34.0,3605944
DE,2019.0,479.0,532.0,29.0,0.0,14.0,875.0,20.0,15.0,93.0,3.0,49.0,0.0,0.0,74.0,201.0,87.0,203.0,0.0,0.0,470.0,36.0,0.0,0.0,0.0,3.0,1.0,0.0,12.0,989948
DE,2020.0,561.0,331.0,2.0,0.0,79.0,864.0,11.0,48.0,26.0,1.0,53.0,0.0,0.0,64.0,140.0,59.0,239.0,0.0,0.0,403.0,25.0,0.0,2.0,0.0,1.0,0.0,0.0,20.0,989948
DE,2021.0,589.0,606.0,7.0,0.0,56.0,1120.0,18.0,59.0,25.0,0.0,53.0,0.0,0.0,66.0,137.0,53.0,362.0,0.0,1.0,517.0,23.0,0.0,3.0,0.0,3.0,0.0,0.0,20.0,989948
DC,2019.0,958.0,2296.0,421.0,382.0,928.0,3318.0,154.0,430.0,145.0,3.0,94.0,4.0,252.0,277.0,875.0,1461.0,694.0,705.0,416.0,2435.0,680.0,1.0,180.0,9.0,28.0,0.0,555.0,315.0,689545
DC,2020.0,704.0,1987.0,421.0,262.0,1337.0,3738.0,116.0,421.0,74.0,4.0,70.0,2.0,168.0,230.0,671.0,1012.0,251.0,587.0,366.0,1662.0,486.0,0.0,78.0,7.0,30.0,0.0,469.0,193.0,689545
DC,2021.0,812.0,2246.0,189.0,237.0,902.0,2955.0,147.0,615.0,77.0,13.0,85.0,0.0,193.0,241.0,868.0,1206.0,180.0,506.0,354.0,1645.0,650.0,0.0,119.0,6.0,35.0,2.0,430.0,168.0,689545
FL,2019.0,22963.0,73305.0,11234.0,2915.0,17358.0,68842.0,2618.0,20912.0,11092.0,1254.0,4100.0,433.0,2099.0,16476.0,25271.0,46855.0,15333.0,5638.0,6790.0,59586.0,14542.0,7.0,12535.0,1148.0,608.0,81.0,5033.0,6401.0,21538187
FL,2020.0,20122.0,65148.0,10860.0,2111.0,7752.0,60381.0,2178.0,17401.0,11291.0,799.0,2755.0,369.0,1580.0,8711.0,17610.0,33905.0,13810.0,4152.0,5970.0,45371.0,11777.0,186.0,9885.0,1579.0,373.0,94.0,3774.0,3452.0,21538187
