State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine,Population
NH,2020.0,1359.0,651.0,1237.0,19.0,122.0,3087.0,112.0,3.0,27.0,4.0,30.0,0.0,22.0,87.0,406.0,460.0,1134.0,28.0,101.0,1563.0,443.0,0.0,42.0,0.0,12.0,1.0,29.0,70.0,1377529
NH,2021.0,1378.0,813.0,1106.0,20.0,243.0,3153.0,143.0,5.0,66.0,4.0,57.0,0.0,18.0,117.0,387.0,329.0,963.0,25.0,257.0,1369.0,422.0,0.0,43.0,7.0,4.0,0.0,25.0,74.0,1377529
NJ,2019.0,2547.0,4850.0,2168.0,17.0,620.0,7068.0,393.0,200.0,1193.0,4.0,440.0,2.0,13.0,661.0,1225.0,1379.0,6961.0,34.0,297.0,5577.0,907.0,2.0,3074.0,2.0,32.0,1.0,26.0,265.0,9288994
NJ,2020.0,2440.0,5671.0,2614.0,11.0,303.0,8301.0,600.0,294.0,508.0,13.0,605.0,4.0,18.0,328.0,1014.0,1046.0,6833.0,16.0,211.0,5436.0,679.0,0.0,2849.0,1.0,27.0,2.0,23.0,111.0,9288994
NJ,2021.0,2250.0,5452.0,2283.0,3.0,386.0,7635.0,279.0,299.0,676.0,0.0,471.0,2.0,2.0,370.0,991.0,1212.0,5154.0,21.0,345.0,4654.0,837.0,1.0,2094.0,0.0,27.0,0.0,3.0,173.0,9288994
NM,2019.0,4172.0,6100.0,1096.0,231.0,4557.0,5769.0,329.0,1458.0,3444.0,1043.0,627.0,23.0,139.0,3953.0,6285.0,9901.0,712.0,418.0,5294.0,6953.0,4412.0,3.0,7743.0,1062.0,263.0,43.0,337.0,2975.0,2117522
NM,2020.0,2641.0,4994.0,887.0,161.0,3308.0,5293.0,267.0,896.0,2662.0,652.0,302.0,43.0,113.0,2215.0,4944.0,7771.0,353.0,528.0,3395.0,5952.0,2953.0,0.0,6244.0,319.0,170.0,63.0,291.0,1277.0,2117522
NM,2021.0,2318.0,7480.0,1103.0,112.0,2074.0,5001.0,393.0,1512.0,2116.0,607.0,478.0,33.0,106.0,1501.0,4160.0,10349.0,950.0,368.0,2233.0,5515.0,3259.0,11.0,5715.0,235.0,242.0,37.0,418.0,1715.0,2117522
NY,2019.0,11552.0,14028.0,5079.0,828.0,1958.0,27231.0,772.0,447.0,1043.0,189.0,779.0,38.0,819.0,2188.0,4719.0,4324.0,9626.0,1205.0,1300.0,15606.0,2262.0,53.0,693.0,51.0,153.0,11.0,1177.0,1099.0,20201249
NY,2020.0,8415.0,12035.0,5995.0,779.0,1561.0,24135.0,630.0,341.0,840.0,131.0,607.0,45.0,750.0,1266.0,3105.0,3137.0,7308.0,1067.0,1013.0,11868.0,1693.0,0.0,372.0,23.0,122.0,4.0,1026.0,596.0,20201249
NY,2021.0,8968.0,12936.0,6185.0,1040.0,2098.0,23688.0,760.0,481.0,711.0,148.0,851.0,49.0,1011.0,1391.0,3254.0,3163.0,6765.0,1307.0,1191.0,11781.0,1947.0,2.0,233.0,28.0,100.0,13.0,1246.0,590.0,20201249
NC,2019.0,13311.0,28055.0,5927.0,347.0,4336.0,26910.0,1147.0,725.0,7825.0,1764.0,1686.0,121.0,322.0,12783.0,15126.0,20825.0,11692.0,812.0,4532.0,24879.0,8520.0,1.0,12034.0,108.0,323.0,33.0,786.0,6308.0,10439388
NC,2020.0,10575.0,21432.0,4895.0,207.0,3827.0,24936.0,823.0,703.0,6509.0,1133.0,917.0,77.0,230.0,6479.0,9687.0,15789.0,10559.0,631.0,3910.0,20872.0,6474.0,1.0,8942.0,4.0,234.0,29.0,589.0,3659.0,10439388
NC,2021.0,11913.0,24269.0,5856.0,332.0,2919.0,26788.0,981.0,600.0,5451.0,1155.0,1335.0,58.0,242.0,7702.0,11197.0,16344.0,10852.0,729.0,3545.0,21920.0,6864.0,16.0,6984.0,10.0,263.0,30.0,697.0,4075.0,10439388
ND,2019.0,456.0,1544.0,651.0,0.0,307.0,2645.0,110.0,3.0,97.0,19.0,55.0,1.0,0.0,65.0,683.0,677.0,186.0,19.0,246.0,1365.0,352.0,0.0,96.0,12.0,7.0,0.0,1.0,28.0,779094
ND,2020.0,460.0,1340.0,411.0,0.0,404.0,2441.0,159.0,12.0,8.0,1.0,87.0,0.0,0.0,40.0,620.0,554.0,333.0,13.0,249.0,1366.0,315.0,0.0,18.0,1.0,14.0,0.0,1.0,14.0,779094
ND,2021.0,397.0,1390.0,585.0,0.0,277.0,2309.0,224.0,2.0,9.0,17.0,68.0,1.0,0.0,51.0,511.0,562.0,441.0,4.0,294.0,1548.0,315.0,0.0,32.0,0.0,7.0,1.0,2.0,16.0,779094
OH,2019.0,6245.0,15768.0,2389.0,293.0,2349.0,20745.0,278.0,1061.0,1902.0,418.0,959.0,211.0,283.0,1595.0,4339.0,8260.0,5854.0,582.0,1773.0,14139.0,2897.0,0.0,1669.0,112.0,130.0,23.0,565.0,1414.0,11799448
OH,2020.0,4560.0,11492.0,3249.0,205.0,1813.0,17645.0,231.0,450.0,1316.0,704.0,480.0,27.0,125.0,809.0,3258.0,5693.0,5965.0,440.0,1050.0,11975.0,2318.0,0.0,1169.0,36.0,96.0,16.0,361.0,722.0,11799448
OH,2021.0,5688.0,11022.0,2923.0,137.0,2152.0,18106.0,261.0,591.0,594.0,466.0,542.0,3.0,94.0,835.0,3242.0,6946.0,5401.0,471.0,1341.0,11817.0,2698.0,5.0,1058.0,50.0,116.0,18.0,431.0,863.0,11799448
OK,2019.0,1933.0,2248.0,3319.0,0.0,1051.0,4502.0,73.0,2130.0,665.0,435.0,586.0,13.0,1.0,267.0,4441.0,13356.0,3382.0,383.0,1510.0,8465.0,2868.0,0.0,7723.0,34.0,407.0,84.0,353.0,3195.0,3959353
OK,2020.0,2009.0,2163.0,2940.0,11.0,225.0,4720.0,62.0,1582.0,533.0,353.0,291.0,6.0,10.0,176.0,3823.0,10697.0,2687.0,387.0,1119.0,8125.0,2408.0,0.0,6467.0,26.0,170.0,138.0,343.0,1549.0,3959353
OK,2021.0,1932.0,1884.0,2236.0,15.0,1395.0,5448.0,72.0,687.0,559.0,283.0,330.0,17.0,5.0,239.0,3783.0,10868.0,2806.0,385.0,2028.0,8112.0,2588.0,0.0,6133.0,32.0,200.0,92.0,366.0,1959.0,3959353
OR,2019.0,8265.0,8832.0,5713.0,536.0,1219.0,18140.0,721.0,1092.0,2215.0,46.0,431.0,6.0,530.0,1067.0,4596.0,5709.0,5569.0,649.0,1035.0,10708.0,4718.0,0.0,734.0,10.0,87.0,3.0,624.0,663.0,4237256
OR,2020.0,6395.0,7628.0,3773.0,403.0,630.0,14043.0,602.0,467.0,2092.0,16.0,296.0,4.0,394.0,777.0,3108.0,4225.0,2942.0,554.0,836.0,6630.0,3682.0,0.0,556.0,5.0,48.0,1.0,509.0,460.0,4237256
OR,2021.0,6038.0,6950.0,3022.0,379.0,649.0,12985.0,499.0,675.0,1294.0,100.0,261.0,6.0,332.0,756.0,2973.0,4133.0,2785.0,605.0,1029.0,6262.0,3522.0,1.0,471.0,14.0,57.0,2.0,520.0,526.0,4237256
PA,2019.0,6217.0,8807.0,4501.0,662.0,2103.0,18707.0,293.0,283.0,510.0,100.0,639.0,50.0,524.0,1548.0,3595.0,3511.0,4990.0,760.0,2211.0,11464.0,2001.0,1.0,445.0,14.0,114.0,37.0,750.0,657.0,13002700
PA,2020.0,5283.0,8739.0,3869.0,426.0,1715.0,17021.0,302.0,195.0,470.0,208.0,489.0,23.0,211.0,1035.0,3170.0,2766.0,4936.0,674.0,1291.0,9499.0,1587.0,0.0,362.0,19.0,69.0,5.0,362.0,527.0,13002700
PA,2021.0,4406.0,8494.0,4217.0,412.0,1528.0,15614.0,286.0,208.0,342.0,37.0,648.0,34.0,182.0,1151.0,2784.0,3047.0,4380.0,637.0,987.0,8586.0,1748.0,26.0,230.0,55.0,81.0,9.0,325.0,552.0,13002700
RI,2019.0,820.0,376.0,387.0,50.0,181.0,1406.0,48.0,45.0,183.0,0.0,21.0,1.0,48.0,89.0,400.0,538.0,796.0,102.0,188.0,1300.0,454.0,0.0,176.0,0.0,2.0,0.0,106.0,64.0,1097379
RI,2020.0,678.0,382.0,350.0,6.0,303.0,1237.0,137.0,38.0,226.0,0.0,85.0,0.0,5.0,37.0,381.0,336.0,924.0,37.0,160.0,1338.0,359.0,0.0,113.0,0.0,10.0,1.0,37.0,44.0,1097379
RI,2021.0,782.0,541.0,529.0,2.0,241.0,1447.0,80.0,83.0,255.0,93.0,85.0,0.0,2.0,26.0,513.0,366.0,809.0,11.0,140.0,1193.0,329.0,0.0,206.0,1.0,12.0,2.0,13.0,45.0,1097379
SC,2019.0,4540.0,13214.0,1254.0,98.0,2321.0,11720.0,280.0,2965.0,1592.0,73.0,589.0,510.0,57.0,2754.0,4741.0,12136.0,5046.0,212.0,652.0,13976.0,2333.0,1.0,4801.0,74.0,158.0,248.0,117.0,894.0,5118425
SC,2020.0,3576.0,12484.0,1377.0,141.0,2202.0,11395.0,384.0,2549.0,1806.0,1870.0,675.0,145.0,76.0,2403.0,3882.0,9415.0,3612.0,188.0,856.0,10942.0,2036.0,1.0,3969.0,1884.0,144.0,69.0,131.0,785.0,5118425
SC,2021.0,4192.0,14653.0,1446.0,58.0,1988.0,12890.0,363.0,2868.0,2219.0,48.0,862.0,50.0,52.0,2643.0,4664.0,9804.0,3536.0,109.0,941.0,11267.0,2274.0,3.0,4141.0,128.0,150.0,43.0,88.0,971.0,5118425
SD,2019.0,332.0,397.0,52.0,7.0,6.0,495.0,8.0,0.0,172.0,0.0,39.0,0.0,0.0,50.0,332.0,265.0,113.0,3.0,19.0,498.0,29.0,0.0,184.0,0.0,2.0,0.0,1.0,9.0,886667
SD,2020.0,341.0,319.0,27.0,0.0,0.0,513.0,13.0,0.0,154.0,0.0,7.0,0.0,0.0,11.0,356.0,135.0,61.0,3.0,5.0,424.0,13.0,1.0,161.0,0.0,2.0,0.0,0.0,5.0,886667
SD,2021.0,362.0,495.0,79.0,0.0,18.0,530.0,18.0,22.0,334.0,6.0,5.0,0.0,0.0,35.0,327.0,478.0,136.0,3.0,22.0,609.0,13.0,0.0,271.0,0.0,1.0,0.0,0.0,12.0,886667
TN,2019.0,6187.0,14292.0,2013.0,54.0,3370.0,14192.0,507.0,2749.0,3441.0,2753.0,767.0,30.0,63.0,2404.0,10003.0,18820.0,3595.0,281.0,5354.0,15247.0,5216.0,137.0,13385.0,1266.0,391.0,49.0,301.0,2717.0,6910840
TN,2020.0,4962.0,11169.0,1701.0,61.0,3978.0,12129.0,704.0,2425.0,3132.0,2281.0,618.0,42.0,53.0,1353.0,9031.0,13482.0,2615.0,189.0,6226.0,12711.0,4256.0,17.0,12411.0,1322.0,430.0,17.0,195.0,1472.0,6910840
TN,2021.0,5508.0,11440.0,2012.0,100.0,4197.0,12978.0,1107.0,2061.0,3096.0,1499.0,751.0,22.0,58.0,1385.0,9852.0,14982.0,2129.0,235.0,4453.0,12151.0,4741.0,6.0,10010.0,1109.0,415.0,18.0,171.0,1578.0,6910840
TX,2019.0,22853.0,51155.0,19163.0,2308.0,5851.0,48424.0,2169.0,15344.0,14125.0,2358.0,4256.0,381.0,2213.0,10889.0,34527.0,75452.0,28565.0,2872.0,9049.0,68388.0,26704.0,3.0,37373.0,1646.0,1879.0,202.0,2570.0,11400.0,29145505
TX,2020.0,14847.0,37808.0,22200.0,721.0,5609.0,45439.0,1591.0,9104.0,19753.0,1895.0,2616.0,243.0,670.0,4284.0,22858.0,48365.0,29867.0,1788.0,10347.0,53359.0,16273.0,6.0,44267.0,2774.0,1297.0,137.0,1598.0,3860.0,29145505
TX,2021.0,16254.0,37195.0,22732.0,740.0,5724.0,48910.0,1394.0,6334.0,15066.0,1829.0,3516.0,128.0,693.0,4734.0,24068.0,48134.0,27449.0,1980.0,8795.0,50895.0,13366.0,9.0,33836.0,1412.0,1399.0,108.0,1857.0,5234.0,29145505
UT,2019.0,2980.0,9546.0,3533.0,1170.0,2090.0,9596.0,821.0,1764.0,4148.0,1851.0,456.0,4.0,472.0,1327.0,3258.0,9253.0,4540.0,2126.0,863.0,10230.0,6327.0,0.0,1413.0,335.0,82.0,4.0,1310.0,440.0,3271616
UT,2020.0,3218.0,7620.0,3675.0,602.0,796.0,8792.0,522.0,1391.0,3721.0,523.0,267.0,9.0,439.0,737.0,2480.0,6983.0,3220.0,1453.0,540.0,7573.0,4376.0,13.0,1299.0,231.0,52.0,3.0,1167.0,327.0,3271616
UT,2021.0,4439.0,9034.0,2552.0,404.0,2033.0,9260.0,686.0,2273.0,3840.0,554.0,273.0,5.0,381.0,948.0,3210.0,6739.0,3305.0,1153.0,1492.0,7865.0,4637.0,0.0,1282.0,356.0,64.0,3.0,1111.0,384.0,3271616
VT,2019.0,1562.0,921.0,737.0,17.0,189.0,2936.0,99.0,3.0,78.0,31.0,60.0,0.0,16.0,205.0,504.0,281.0,499.0,14.0,48.0,1012.0,200.0,0.0,24.0,4.0,2.0,0.0,13.0,94.0,643077
VT,2020.0,1259.0,775.0,831.0,7.0,130.0,2504.0,89.0,1.0,62.0,26.0,52.0,0.0,7.0,171.0,368.0,186.0,248.0,8.0,60.0,628.0,142.0,0.0,9.0,18.0,22.0,0.0,8.0,80.0,643077
VT,2021.0,1449.0,814.0,958.0,2.0,162.0,2892.0,97.0,12.0,19.0,56.0,110.0,4.0,0.0,204.0,450.0,193.0,402.0,0.0,75.0,820.0,137.0,0.0,7.0,24.0,5.0,0.0,0.0,63.0,643077
VA,2019.0,5142.0,5622.0,6977.0,2.0,425.0,12894.0,464.0,276.0,2478.0,57.0,454.0,8.0,15.0,1502.0,4070.0,4436.0,7551.0,0.0,959.0,11645.0,2764.0,1.0,1956.0,29.0,111.0,5.0,17.0,672.0,8631393
VA,2020.0,4915.0,4912.0,8663.0,3.0,302.0,14291.0,412.0,306.0,2714.0,5.0,387.0,25.0,25.0,592.0,2989.0,3663.0,8399.0,10.0,870.0,11694.0,2344.0,0.0,1687.0,5.0,131.0,6.0,20.0,321.0,8631393
VA,2021.0,5171.0,5155.0,7500.0,29.0,425.0,13424.0,462.0,0.0,2991.0,0.0,467.0,35.0,21.0,575.0,3498.0,3593.0,6985.0,38.0,626.0,9919.0,2393.0,0.0,1833.0,0.0,105.0,8.0,22.0,267.0,8631393
WA,2019.0,9676.0,24108.0,11551.0,479.0,1845.0,33481.0,1542.0,886.0,6137.0,254.0,1138.0,50.0,461.0,2559.0,4684.0,11384.0,6700.0,761.0,1105.0,14401.0,6952.0,2.0,1324.0,1.0,88.0,11.0,755.0,904.0,7705281
WA,2020.0,8564.0,17387.0,9535.0,413.0,1576.0,29317.0,1244.0,1381.0,3469.0,229.0,930.0,33.0,398.0,1715.0,3023.0,7946.0,3197.0,616.0,720.0,8400.0,5187.0,11.0,1086.0,2.0,54.0,5.0,618.0,621.0,7705281
WA,2021.0,9463.0,18403.0,9864.0,436.0,1649.0,29452.0,1365.0,1485.0,2845.0,167.0,1092.0,40.0,413.0,1814.0,3297.0,8240.0,3303.0,687.0,879.0,8258.0,5471.0,2.0,740.0,12.0,66.0,6.0,662.0,681.0,7705281
WV,2019.0,1718.0,4903.0,10.0,3.0,76.0,4433.0,62.0,3.0,1237.0,205.0,400.0,1.0,2.0,483.0,2676.0,5097.0,164.0,9.0,202.0,3196.0,949.0,2.0,3566.0,125.0,77.0,6.0,8.0,184.0,1793716
WV,2020.0,1208.0,5146.0,30.0,0.0,85.0,3455.0,90.0,15.0,1767.0,86.0,362.0,33.0,1.0,630.0,2250.0,4109.0,172.0,9.0,102.0,2916.0,919.0,1.0,2707.0,72.0,63.0,5.0,0.0,159.0,1793716
WV,2021.0,1588.0,6060.0,524.0,0.0,166.0,5072.0,85.0,192.0,1854.0,65.0,503.0,0.0,1.0,581.0,2605.0,5049.0,1781.0,1.0,331.0,5306.0,1459.0,2.0,2428.0,86.0,95.0,12.0,0.0,197.0,1793716
WI,2019.0,8585.0,15653.0,3019.0,707.0,1143.0,19121.0,1922.0,913.0,2408.0,120.0,677.0,24.0,777.0,2103.0,3751.0,8206.0,4848.0,796.0,1045.0,9413.0,5050.0,51.0,1195.0,24.0,128.0,2.0,776.0,1193.0,5893718
WI,2020.0,7427.0,13607.0,3074.0,618.0,1369.0,20456.0,1217.0,812.0,1075.0,241.0,598.0,6.0,595.0,1570.0,2989.0,6005.0,4899.0,618.0,833.0,9301.0,4180.0,0.0,663.0,26.0,48.0,0.0,596.0,785.0,5893718
WI,2021.0,7216.0,12731.0,2636.0,565.0,2081.0,18836.0,1250.0,950.0,1057.0,311.0,566.0,16.0,556.0,1491.0,2699.0,6388.0,4152.0,625.0,1307.0,8611.0,4588.0,0.0,545.0,285.0,79.0,1.0,610.0,997.0,5893718
WY,2019.0,1080.0,1874.0,364.0,26.0,1140.0,2499.0,196.0,70.0,241.0,724.0,115.0,4.0,29.0,476.0,831.0,1112.0,779.0,60.0,1735.0,1975.0,1467.0,1.0,114.0,752.0,28.0,0.0,65.0,159.0,576851
WY,2020.0,819.0,1458.0,394.0,24.0,1112.0,2184.0,155.0,72.0,187.0,745.0,45.0,4.0,23.0,218.0,526.0,1102.0,804.0,58.0,750.0,1662.0,1024.0,0.0,57.0,397.0,11.0,1.0,58.0,113.0,576851
WY,2021.0,894.0,1240.0,557.0,19.0,1120.0,2362.0,175.0,17.0,118.0,605.0,54.0,4.0,19.0,169.0,614.0,801.0,660.0,58.0,1034.0,1510.0,960.0,0.0,59.0,398.0,7.0,2.0,59.0,113.0,576851
PR,2019.0,403.0,1219.0,0.0,122.0,97.0,234.0,3.0,0.0,8.0,0.0,3.0,4.0,156.0,1281.0,895.0,762.0,0.0,224.0,148.0,790.0,27.0,0.0,110.0,12.0,15.0,4.0,231.0,854.0,3285874
PR,2020.0,152.0,318.0,23.0,113.0,43.0,172.0,0.0,5.0,25.0,0.0,12.0,1.0,143.0,298.0,368.0,372.0,181.0,205.0,63.0,698.0,21.0,0.0,100.0,0.0,9.0,1.0,202.0,203.0,3285874
PR,2021.0,359.0,648.0,19.0,159.0,53.0,226.0,4.0,9.0,25.0,0.0,13.0,9.0,169.0,757.0,526.0,313.0,168.0,265.0,101.0,659.0,24.0,1.0,92.0,0.0,16.0,1.0,270.0,301.0,3285874
