State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine
NH,2021,1378,813,1106,20,243,3153,143,5,66,4,57,0,18,117,387,329,963,25,257,1369,422,0,43,7,4,0,25,74
NJ,2019,2547,4850,2168,17,620,7068,393,200,1193,4,440,2,13,661,1225,1379,6961,34,297,5577,907,2,3074,2,32,1,26,265
NJ,2020,2440,5671,2614,11,303,8301,600,294,508,13,605,4,18,328,1014,1046,6833,16,211,5436,679,0,2849,1,27,2,23,111
NJ,2021,2250,5452,2283,3,386,7635,279,299,676,0,471,2,2,370,991,1212,5154,21,345,4654,837,1,2094,0,27,0,3,173
NM,2019,4172,6100,1096,231,4557,5769,329,1458,3444,1043,627,23,139,3953,6285,9901,712,418,5294,6953,4412,3,7743,1062,263,43,337,2975
NM,2020,2641,4994,887,161,3308,5293,267,896,2662,652,302,43,113,2215,4944,7771,353,528,3395,5952,2953,0,6244,319,170,63,291,1277
NM,2021,2318,7480,1103,112,2074,5001,393,1512,2116,607,478,33,106,1501,4160,10349,950,368,2233,5515,3259,11,5715,235,242,37,418,1715
NV,2019,2558,7853,1568,570,1165,8165,388,1696,1073,16,299,13,565,1280,3744,11850,1401,2162,2808,10479,5141,0,2509,30,108,12,2162,1723
NV,2020,1852,6343,1336,584,945,7733,316,999,598,26,303,7,580,825,1974,7576,1129,2256,1865,6523,3624,0,1502,13,71,7,2255,1057
NV,2021,2037,7176,1245,419,1384,6715,318,1088,744,6,399,15,418,984,2312,8808,971,1571,2277,5636,4055,0,1606,7,97,45,1568,1234
NY,2019,11552,14028,5079,828,1958,27231,772,447,1043,189,779,38,819,2188,4719,4324,9626,1205,1300,15606,2262,53,693,51,153,11,1177,1099
NY,2020,8415,12035,5995,779,1561,24135,630,341,840,131,607,45,750,1266,3105,3137,7308,1067,1013,11868,1693,0,372,23,122,4,1026,596
NY,2021,8968,12936,6185,1040,2098,23688,760,481,711,148,851,49,1011,1391,3254,3163,6765,1307,1191,11781,1947,2,233,28,100,13,1246,590
OH,2019,6245,15768,2389,293,2349,20745,278,1061,1902,418,959,211,283,1595,4339,8260,5854,582,1773,14139,2897,0,1669,112,130,23,565,1414
OH,2020,4560,11492,3249,205,1813,17645,231,450,1316,704,480,27,125,809,3258,5693,5965,440,1050,11975,2318,0,1169,36,96,16,361,722
OH,2021,5688,11022,2923,137,2152,18106,261,591,594,466,542,3,94,835,3242,6946,5401,471,1341,11817,2698,5,1058,50,116,18,431,863
OK,2019,1933,2248,3319,0,1051,4502,73,2130,665,435,586,13,1,267,4441,13356,3382,383,1510,8465,2868,0,7723,34,407,84,353,3195
OK,2020,2009,2163,2940,11,225,4720,62,1582,533,353,291,6,10,176,3823,10697,2687,387,1119,8125,2408,0,6467,26,170,138,343,1549
OK,2021,1932,1884,2236,15,1395,5448,72,687,559,283,330,17,5,239,3783,10868,2806,385,2028,8112,2588,0,6133,32,200,92,366,1959
OR,2019,8265,8832,5713,536,1219,18140,721,1092,2215,46,431,6,530,1067,4596,5709,5569,649,1035,10708,4718,0,734,10,87,3,624,663
OR,2020,6395,7628,3773,403,630,14043,602,467,2092,16,296,4,394,777,3108,4225,2942,554,836,6630,3682,0,556,5,48,1,509,460
OR,2021,6038,6950,3022,379,649,12985,499,675,1294,100,261,6,332,756,2973,4133,2785,605,1029,6262,3522,1,471,14,57,2,520,526
PA,2019,6217,8807,4501,662,2103,18707,293,283,510,100,639,50,524,1548,3595,3511,4990,760,2211,11464,2001,1,445,14,114,37,750,657
PA,2020,5283,8739,3869,426,1715,17021,302,195,470,208,489,23,211,1035,3170,2766,4936,674,1291,9499,1587,0,362,19,69,5,362,527
PA,2021,4406,8494,4217,412,1528,15614,286,208,342,37,648,34,182,1151,2784,3047,4380,637,987,8586,1748,26,230,55,81,9,325,552
PR,2019,403,1219,0,122,97,234,3,0,8,0,3,4,156,1281,895,762,0,224,148,790,27,0,110,12,15,4,231,854
PR,2020,152,318,23,113,43,172,0,5,25,0,12,1,143,298,368,372,181,205,63,698,21,0,100,0,9,1,202,203
PR,2021,359,648,19,159,53,226,4,9,25,0,13,9,169,757,526,313,168,265,101,659,24,1,92,0,16,1,270,301
RI,2019,820,376,387,50,181,1406,48,45,183,0,21,1,48,89,400,538,796,102,188,1300,454,0,176,0,2,0,106,64
RI,2020,678,382,350,6,303,1237,137,38,226,0,85,0,5,37,381,336,924,37,160,1338,359,0,113,0,10,1,37,44
RI,2021,782,541,529,2,241,1447,80,83,255,93,85,0,2,26,513,366,809,11,140,1193,329,0,206,1,12,2,13,45
SC,2019,4540,13214,1254,98,2321,11720,280,2965,1592,73,589,510,57,2754,4741,12136,5046,212,652,13976,2333,1,4801,74,158,248,117,894
SC,2020,3576,12484,1377,141,2202,11395,384,2549,1806,1870,675,145,76,2403,3882,9415,3612,188,856,10942,2036,1,3969,1884,144,69,131,785
SC,2021,4192,14653,1446,58,1988,12890,363,2868,2219,48,862,50,52,2643,4664,9804,3536,109,941,11267,2274,3,4141,128,150,43,88,971
SD,2019,332,397,52,7,6,495,8,0,172,0,39,0,0,50,332,265,113,3,19,498,29,0,184,0,2,0,1,9
